param,mean,median,ci_0.950_LB,ci_0.950_UB
q_ind_38_pop_0,0.000046,0.000000,0.000000,0.000529
q_ind_39_pop_0,0.000050,0.000000,0.000000,0.000583
q_ind_40_pop_0,0.000079,0.000000,0.000000,0.000751
q_ind_41_pop_0,0.000047,0.000000,0.000000,0.000571
q_ind_42_pop_0,0.000025,0.000000,0.000000,0.000249
q_ind_43_pop_0,0.000047,0.000000,0.000000,0.000547
q_ind_44_pop_0,0.000041,0.000000,0.000000,0.000462
q_ind_45_pop_0,0.004097,0.000000,0.000000,0.046818
q_ind_46_pop_0,0.000027,0.000000,0.000000,0.000294
q_ind_47_pop_0,0.000097,0.000000,0.000000,0.001066
q_ind_48_pop_0,0.000034,0.000000,0.000000,0.000400
q_ind_49_pop_0,0.000060,0.000000,0.000000,0.000618
q_ind_50_pop_0,0.000031,0.000000,0.000000,0.000339
q_ind_51_pop_0,0.004025,0.000000,0.000000,0.035871
q_ind_52_pop_0,0.000106,0.000000,0.000000,0.001125
q_ind_53_pop_0,0.000104,0.000000,0.000000,0.001078
q_ind_54_pop_0,0.000019,0.000000,0.000000,0.000188
q_ind_55_pop_0,0.000021,0.000000,0.000000,0.000222
q_ind_56_pop_0,0.000045,0.000000,0.000000,0.000563
q_ind_57_pop_0,0.000026,0.000000,0.000000,0.000248
q_ind_58_pop_0,0.000053,0.000000,0.000000,0.000650
q_ind_59_pop_0,0.000356,0.000000,0.000000,0.004067
q_ind_60_pop_0,0.000015,0.000000,0.000000,0.000148
q_ind_61_pop_0,0.000016,0.000000,0.000000,0.000198
q_ind_62_pop_0,0.000014,0.000000,0.000000,0.000164
q_ind_63_pop_0,0.000021,0.000000,0.000000,0.000219
q_ind_64_pop_0,0.000020,0.000000,0.000000,0.000224
q_ind_65_pop_0,0.000017,0.000000,0.000000,0.000189
q_ind_66_pop_0,0.000022,0.000000,0.000000,0.000246
q_ind_67_pop_0,0.000020,0.000000,0.000000,0.000234
q_ind_68_pop_0,0.000024,0.000000,0.000000,0.000223
q_ind_69_pop_0,0.000030,0.000000,0.000000,0.000297
q_ind_70_pop_0,0.000034,0.000000,0.000000,0.000436
q_ind_71_pop_0,0.000023,0.000000,0.000000,0.000284
q_ind_72_pop_0,0.000024,0.000000,0.000000,0.000292
q_ind_73_pop_0,0.000039,0.000000,0.000000,0.000370
q_ind_74_pop_0,0.000043,0.000000,0.000000,0.000540
q_ind_75_pop_0,0.000017,0.000000,0.000000,0.000184
q_ind_76_pop_0,0.000025,0.000000,0.000000,0.000257
q_ind_77_pop_0,0.000021,0.000000,0.000000,0.000229
q_ind_78_pop_0,0.000025,0.000000,0.000000,0.000272
q_ind_79_pop_0,0.000070,0.000000,0.000000,0.000694
q_ind_80_pop_0,0.000008,0.000000,0.000000,0.000088
q_ind_81_pop_0,0.000009,0.000000,0.000000,0.000096
q_ind_82_pop_0,0.000010,0.000000,0.000000,0.000113
q_ind_83_pop_0,0.000013,0.000000,0.000000,0.000139
q_ind_84_pop_0,0.000008,0.000000,0.000000,0.000089
q_ind_85_pop_0,0.000011,0.000000,0.000000,0.000111
q_ind_86_pop_0,0.000012,0.000000,0.000000,0.000128
q_ind_87_pop_0,0.000014,0.000000,0.000000,0.000141
q_ind_88_pop_0,0.000009,0.000000,0.000000,0.000103
q_ind_0_pop_1,0.000017,0.000000,0.000000,0.000162
q_ind_1_pop_1,0.000082,0.000000,0.000000,0.001002
q_ind_2_pop_1,0.000026,0.000000,0.000000,0.000274
q_ind_3_pop_1,0.000022,0.000000,0.000000,0.000261
q_ind_4_pop_1,0.000016,0.000000,0.000000,0.000171
q_ind_5_pop_1,0.000015,0.000000,0.000000,0.000154
q_ind_6_pop_1,0.000019,0.000000,0.000000,0.000199
q_ind_7_pop_1,0.000024,0.000000,0.000000,0.000251
q_ind_8_pop_1,0.000015,0.000000,0.000000,0.000158
q_ind_9_pop_1,0.000019,0.000000,0.000000,0.000202
q_ind_10_pop_1,0.000030,0.000000,0.000000,0.000353
q_ind_11_pop_1,0.000083,0.000000,0.000000,0.001037
q_ind_12_pop_1,0.000027,0.000000,0.000000,0.000306
q_ind_13_pop_1,0.000047,0.000000,0.000000,0.000531
q_ind_14_pop_1,0.000030,0.000000,0.000000,0.000331
q_ind_15_pop_1,0.000019,0.000000,0.000000,0.000216
q_ind_16_pop_1,0.000016,0.000000,0.000000,0.000185
q_ind_17_pop_1,0.006343,0.006421,0.000000,0.017750
q_ind_18_pop_1,0.000012,0.000000,0.000000,0.000130
q_ind_19_pop_1,0.000019,0.000000,0.000000,0.000224
q_ind_20_pop_1,0.000015,0.000000,0.000000,0.000165
q_ind_21_pop_1,0.000031,0.000000,0.000000,0.000372
q_ind_22_pop_1,0.005886,0.002744,0.000000,0.020894
q_ind_23_pop_1,0.000014,0.000000,0.000000,0.000155
q_ind_24_pop_1,0.000010,0.000000,0.000000,0.000117
q_ind_25_pop_1,0.000012,0.000000,0.000000,0.000125
q_ind_26_pop_1,0.000011,0.000000,0.000000,0.000114
q_ind_27_pop_1,0.000009,0.000000,0.000000,0.000107
q_ind_28_pop_1,0.000011,0.000000,0.000000,0.000106
q_ind_29_pop_1,0.631589,0.631702,0.609525,0.653296
q_ind_30_pop_1,0.687181,0.687203,0.665057,0.708746
q_ind_31_pop_1,0.672080,0.671977,0.648480,0.696153
q_ind_32_pop_1,0.652382,0.652349,0.630226,0.674573
q_ind_33_pop_1,0.734531,0.734613,0.713163,0.755434
q_ind_34_pop_1,0.712195,0.712357,0.689095,0.734465
q_ind_35_pop_1,0.664018,0.664160,0.641992,0.685640
q_ind_36_pop_1,0.712169,0.712409,0.689802,0.732758
q_ind_37_pop_1,0.679906,0.680084,0.658203,0.700489
q_ind_38_pop_1,0.683221,0.683514,0.661556,0.704322
q_ind_39_pop_1,0.642830,0.642924,0.619213,0.665790
q_ind_40_pop_1,0.718757,0.718695,0.695273,0.742449
q_ind_41_pop_1,0.665874,0.665835,0.643818,0.688367
q_ind_42_pop_1,0.689967,0.689919,0.668306,0.711450
q_ind_43_pop_1,0.650323,0.650518,0.628691,0.670608
q_ind_44_pop_1,0.685834,0.686005,0.664474,0.706503
q_ind_45_pop_1,0.627626,0.627685,0.603776,0.651188
q_ind_46_pop_1,0.000015,0.000000,0.000000,0.000156
q_ind_47_pop_1,0.000030,0.000000,0.000000,0.000350
q_ind_48_pop_1,0.000045,0.000000,0.000000,0.000545
q_ind_49_pop_1,0.000033,0.000000,0.000000,0.000386
q_ind_50_pop_1,0.000042,0.000000,0.000000,0.000500
q_ind_51_pop_1,0.027286,0.027368,0.013390,0.039752
q_ind_52_pop_1,0.000120,0.000000,0.000000,0.001471
q_ind_53_pop_1,0.000072,0.000000,0.000000,0.000853
q_ind_54_pop_1,0.046665,0.046580,0.031358,0.062685
q_ind_55_pop_1,0.108548,0.108423,0.092173,0.125246
q_ind_56_pop_1,0.165453,0.165366,0.146138,0.184702
q_ind_57_pop_1,0.151514,0.151657,0.132918,0.170357
q_ind_58_pop_1,0.142722,0.142783,0.123500,0.161513
q_ind_59_pop_1,0.160295,0.160438,0.139457,0.180602
q_ind_60_pop_1,0.044842,0.044678,0.029987,0.060346
q_ind_61_pop_1,0.098502,0.098464,0.081954,0.115573
q_ind_62_pop_1,0.073513,0.073396,0.057873,0.090126
q_ind_63_pop_1,0.009963,0.010572,0.000000,0.026035
q_ind_64_pop_1,0.148223,0.148223,0.129638,0.166933
q_ind_65_pop_1,0.043090,0.043114,0.027536,0.058593
q_ind_66_pop_1,0.117295,0.117186,0.100076,0.134868
q_ind_67_pop_1,0.150785,0.150753,0.132247,0.169130
q_ind_68_pop_1,0.101685,0.101653,0.083714,0.119546
q_ind_69_pop_1,0.000118,0.000000,0.000000,0.001695
q_ind_70_pop_1,0.000055,0.000000,0.000000,0.000639
q_ind_71_pop_1,0.000035,0.000000,0.000000,0.000396
q_ind_72_pop_1,0.000064,0.000000,0.000000,0.000769
q_ind_73_pop_1,0.000097,0.000000,0.000000,0.001234
q_ind_74_pop_1,0.000450,0.000000,0.000000,0.006164
q_ind_75_pop_1,0.000023,0.000000,0.000000,0.000234
q_ind_76_pop_1,0.000037,0.000000,0.000000,0.000424
q_ind_77_pop_1,0.000034,0.000000,0.000000,0.000410
q_ind_78_pop_1,0.000036,0.000000,0.000000,0.000406
q_ind_79_pop_1,0.000017,0.000000,0.000000,0.000188
q_ind_80_pop_1,0.000011,0.000000,0.000000,0.000109
q_ind_81_pop_1,0.000009,0.000000,0.000000,0.000093
q_ind_82_pop_1,0.000007,0.000000,0.000000,0.000078
q_ind_83_pop_1,0.000008,0.000000,0.000000,0.000093
q_ind_84_pop_1,0.000008,0.000000,0.000000,0.000085
q_ind_85_pop_1,0.000009,0.000000,0.000000,0.000089
