param,effectiveSampleSize,potentialScaleReductionFactor
q_ind_58_pop_2,299.55,1.007
q_ind_59_pop_2,416.09,1.006
q_ind_60_pop_2,165.20,1.012
q_ind_61_pop_2,174.75,1.011
q_ind_62_pop_2,220.82,1.007
q_ind_63_pop_2,27.49,1.007
q_ind_64_pop_2,167.13,1.005
q_ind_65_pop_2,76.38,1.008
q_ind_66_pop_2,199.24,1.010
q_ind_67_pop_2,284.56,1.008
q_ind_68_pop_2,207.82,1.013
q_ind_69_pop_2,444.81,1.001
q_ind_70_pop_2,1004.79,1.001
q_ind_71_pop_2,713.61,1.002
q_ind_72_pop_2,36.45,1.030
q_ind_73_pop_2,853.22,1.005
q_ind_74_pop_2,703.35,1.005
q_ind_75_pop_2,1100.89,1.000
q_ind_76_pop_2,1040.38,1.004
q_ind_77_pop_2,1169.50,1.000
q_ind_78_pop_2,1578.71,1.000
q_ind_79_pop_2,1615.80,1.000
q_ind_80_pop_2,3977.84,1.000
q_ind_81_pop_2,3261.39,1.000
q_ind_82_pop_2,4606.41,1.000
q_ind_83_pop_2,3426.05,1.000
q_ind_84_pop_2,4351.95,1.000
q_ind_85_pop_2,3688.87,1.001
q_ind_86_pop_2,3358.21,1.000
q_ind_87_pop_2,3479.49,1.000
q_ind_88_pop_2,4258.20,1.000
q_ind_0_pop_3,639.26,1.002
q_ind_1_pop_3,1424.60,1.006
q_ind_2_pop_3,741.64,1.002
q_ind_3_pop_3,549.25,1.006
q_ind_4_pop_3,561.53,1.008
q_ind_5_pop_3,644.07,1.006
q_ind_6_pop_3,852.76,1.006
q_ind_7_pop_3,697.40,1.001
q_ind_8_pop_3,760.80,1.001
q_ind_9_pop_3,492.89,1.003
q_ind_10_pop_3,23.88,1.058
q_ind_11_pop_3,893.70,1.006
q_ind_12_pop_3,643.26,1.001
q_ind_13_pop_3,910.75,1.001
q_ind_14_pop_3,1168.54,1.006
q_ind_15_pop_3,1685.08,1.001
q_ind_16_pop_3,1815.39,1.002
q_ind_17_pop_3,369.97,1.000
q_ind_18_pop_3,3099.19,1.000
q_ind_19_pop_3,2087.18,1.000
q_ind_20_pop_3,732.49,1.002
q_ind_21_pop_3,144.37,1.023
q_ind_22_pop_3,631.91,1.002
q_ind_23_pop_3,1926.73,1.000
q_ind_24_pop_3,3390.80,1.000
q_ind_25_pop_3,3126.06,1.000
q_ind_26_pop_3,2908.90,1.001
q_ind_27_pop_3,3132.34,1.001
q_ind_28_pop_3,2746.37,1.000
q_ind_29_pop_3,290.73,1.003
q_ind_30_pop_3,177.76,1.001
q_ind_31_pop_3,220.74,1.012
q_ind_32_pop_3,202.98,1.016
q_ind_33_pop_3,2174.76,1.001
q_ind_34_pop_3,2159.16,1.000
q_ind_35_pop_3,302.37,1.008
q_ind_36_pop_3,1993.55,1.000
q_ind_37_pop_3,317.60,1.002
q_ind_38_pop_3,287.63,1.003
q_ind_39_pop_3,393.20,1.003
q_ind_40_pop_3,555.48,1.004
q_ind_41_pop_3,303.98,1.006
q_ind_42_pop_3,908.56,1.001
q_ind_43_pop_3,978.19,1.001
q_ind_44_pop_3,888.30,1.007
q_ind_45_pop_3,802.30,1.000
q_ind_46_pop_3,1092.94,1.000
q_ind_47_pop_3,1053.53,1.001
q_ind_48_pop_3,1659.92,1.000
q_ind_49_pop_3,687.02,1.001
q_ind_50_pop_3,1062.51,1.001
q_ind_51_pop_3,258.49,1.001
q_ind_52_pop_3,699.45,1.001
q_ind_53_pop_3,706.09,1.006
q_ind_54_pop_3,1874.05,1.002
q_ind_55_pop_3,2151.51,1.001
q_ind_56_pop_3,186.76,1.004
q_ind_57_pop_3,426.69,1.008
q_ind_58_pop_3,989.46,1.001
q_ind_59_pop_3,1146.64,1.001
q_ind_60_pop_3,2641.31,1.000
q_ind_61_pop_3,1551.35,1.000
q_ind_62_pop_3,1968.07,1.000
q_ind_63_pop_3,2088.00,1.002
q_ind_64_pop_3,1334.35,1.002
q_ind_65_pop_3,2421.57,1.002
q_ind_66_pop_3,1350.81,1.001
q_ind_67_pop_3,1917.84,1.004
q_ind_68_pop_3,1544.26,1.000
q_ind_69_pop_3,666.51,1.006
q_ind_70_pop_3,312.66,1.003
q_ind_71_pop_3,816.48,1.001
q_ind_72_pop_3,49.84,1.009
q_ind_73_pop_3,532.45,1.001
q_ind_74_pop_3,815.31,1.002
